ma_don_vi,ma_bao_cao,ma_chi_tieu,fld_code,ky_du_lieu,gia_tri
UBND.0019,10628953,CT_UBND.0041,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0042,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0042,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0042,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0042,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0043,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0043,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0043,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0043,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0044,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0044,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0044,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0044,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0045,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0045,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0045,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0045,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0046,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0046,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0046,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0046,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0047,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0047,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0047,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0047,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0048,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0048,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0048,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0048,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0049,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0049,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0049,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0049,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0050,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0050,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0050,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0050,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0051,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0051,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0051,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0051,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0052,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0052,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0052,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0052,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0053,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0053,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0053,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0053,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0054,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0054,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0054,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0054,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0055,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0055,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0055,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0055,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0056,FN02,2025-07-10,
