ma_don_vi,ma_bao_cao,ma_tieu_chi,fld_code,ky_du_lieu,gia_tri
UBND.0019,10628953,CT_UBND.0019,FN03,2025-07-24,155.0
UBND.0019,10628953,CT_TONGCONG,FN02,2025-07-25,58.0
UBND.0019,10628953,CT_TONGCONG,FN01,2025-07-25,34.0
UBND.0019,10628953,CT_TONGCONG,FN04,2025-07-25,50.0
UBND.0019,10628953,CT_TONGCONG,FN03,2025-07-25,155.0
UBND.0019,10628953,CT_UBND.0019,FN02,2025-07-25,58.0
UBND.0019,10628953,CT_UBND.0019,FN01,2025-07-25,34.0
UBND.0019,10628953,CT_UBND.0019,FN04,2025-07-25,50.0
UBND.0019,10628953,CT_UBND.0019,FN03,2025-07-25,155.0
UBND.0019,10628953,CT_TONGCONG,FN02,2025-07-28,51.0
UBND.0019,10628953,CT_TONGCONG,FN01,2025-07-28,30.0
UBND.0019,10628953,CT_TONGCONG,FN04,2025-07-28,44.0
UBND.0019,10628953,CT_TONGCONG,FN03,2025-07-28,155.0
UBND.0019,10628953,CT_UBND.0019,FN02,2025-07-28,51.0
UBND.0019,10628953,CT_UBND.0019,FN01,2025-07-28,30.0
UBND.0019,10628953,CT_UBND.0019,FN04,2025-07-28,44.0
UBND.0019,10628953,CT_UBND.0019,FN03,2025-07-28,155.0
UBND.0019,10628953,CT_TONGCONG,FN02,2025-07-29,49.0
UBND.0019,10628953,CT_TONGCONG,FN01,2025-07-29,27.0
UBND.0019,10628953,CT_TONGCONG,FN04,2025-07-29,44.0
UBND.0019,10628953,CT_TONGCONG,FN03,2025-07-29,155.0
UBND.0019,10628953,CT_UBND.0019,FN02,2025-07-29,49.0
UBND.0019,10628953,CT_UBND.0019,FN01,2025-07-29,27.0
UBND.0019,10628953,CT_UBND.0019,FN04,2025-07-29,44.0
UBND.0019,10628953,CT_UBND.0019,FN03,2025-07-29,155.0
UBND.0019,10628953,CT_TONGCONG,FN02,2025-07-30,40.0
UBND.0019,10628953,CT_TONGCONG,FN01,2025-07-30,12.0
UBND.0019,10628953,CT_TONGCONG,FN04,2025-07-30,34.0
UBND.0019,10628953,CT_TONGCONG,FN03,2025-07-30,155.0
UBND.0019,10628953,CT_UBND.0019,FN02,2025-07-30,40.0
UBND.0019,10628953,CT_UBND.0019,FN01,2025-07-30,12.0
UBND.0019,10628953,CT_UBND.0019,FN04,2025-07-30,34.0
UBND.0019,10628953,CT_UBND.0019,FN03,2025-07-30,155.0
